id,date,market,commodity,price
fd-0,2022-15-48,Bwaise,eggs,3800
fd-1,2021-03-08,Mukono,maize,8100
fd-2,2021-10-27,,Cassava,19800
fd-3,2020-06-12,Kansanga,Beans,7500
fd-4,2020-04-09,Nakasero,Beans,1900
fd-5,2021-01-22,Mukono,fish,21000
fd-6,2021-12-22,Mukono,maize,9900
fd-7,2021-01-24,Nakasero,CASSAVA,12400
fd-8,2021-12-19,Mukono,banana leaves,18000
fd-9,2022-08-05,,eggs,2300
fd-10,2020-10-01,Mukono,eggs,19000
fd-11,2021-02-09,Kansanga,MAIZE,8500
fd-12,2021-03-14,,Cassava,5000
fd-13,2020-04-22,Bwaise,MAIZE,14300
fd-14,2021-04-24,,beans,800
fd-15,2022-02-07,Nakasero,Beans,14700
fd-15,2022-01-06,Nakasero,fish,17100
fd-17,2021-10-16,,banana leaves,12700
fd-18,2021-06-27,Mukono,banana leaves,1100
fd-19,2022-04-06,Nakasero,eggs,19000
fd-20,2020-03-11,,MAIZE,16000
fd-21,2021-09-13,Kansanga,eggs,24400
fd-22,2021-11-18,Nakasero,CASSAVA,15200
fd-23,2021-08-25,,eggs,700
fd-23,2021-08-25,,eggs,700
fd-24,2022-07-16,Mukono,Beans,8200
fd-25,2022-01-10,,banana leaves,15900
fd-26,2021-03-17,Nakasero,Cassava,24300
fd-26,2021-03-17,Nakasero,Cassava,24300
fd-27,2020-03-03,Kansanga,Beans,4000
fd-28,2021-03-08,Bwaise,beans,2900
fd-29,2020-02-21,,maize,8200
fd-30,2021-02-14,Mukono,MAIZE,13200
fd-31,2021-03-09,,CASSAVA,10200
fd-32,2020-03-03,Nakasero,maize,16100
fd-33,2022-09-10,,Maize,2700
fd-34,2020-05-02,,eggs,1800
fd-35,2021-06-19,Nakasero,beans,23900
fd-36,2021-10-22,Nakasero,CASSAVA,2800
fd-36,2021-10-22,Nakasero,CASSAVA,2800
fd-37,2020-04-12,Mukono,fish,9100
fd-38,2020-09-07,Nakasero,beans,18300
fd-39,2021-10-31,,maize,18600
fd-40,2020-05-17,Nakasero,Maize,24800
fd-41,2022-01-04,Nakasero,eggs,9100
fd-42,2020-02-22,Mukono,Cassava,1900
fd-42,2020-02-22,Mukono,Cassava,1900
fd-43,2020-09-25,Bwaise,CASSAVA,14500
fd-44,2021-12-08,Bwaise,fish,-3500
fd-45,2020-11-11,Nakasero,maize,7300
fd-46,2021-07-27,Kansanga,banana leaves,8200
fd-47,2022-06-21,Kansanga,maize,11300
fd-48,2022-01-22,Bwaise,beans,23400
fd-49,2020-08-15,Bwaise,CASSAVA,7900
fd-50,2020-10-12,Mukono,beans,17100
fd-51,2022-08-19,Mukono,Maize,9000
fd-52,2020-04-21,,Cassava,10700
fd-53,2022-07-10,,eggs,23700
fd-54,2021-12-04,Bwaise,Beans,22200
fd-55,2020-05-07,Nakasero,fish,13800
