date,market,rainfall
2020-01-01,Mukono,0.3
2020-01-02,Mukono,0.3
2020-01-03,Mukono,0.0
2020-01-04,Mukono,0.2
2020-01-05,Mukono,0.0
2020-01-06,Mukono,3.4
2020-01-07,Mukono,0.5
2020-01-08,Mukono,6.3
2020-01-09,Mukono,0.7
2020-01-10,Mukono,6.3
2020-01-11,Mukono,0.5
2020-01-12,Mukono,3.7
2020-01-13,Mukono,1.0
2020-01-14,Mukono,0.0
2020-01-15,Mukono,0.0
2020-01-16,Mukono,1.2
2020-01-17,Mukono,2.6
2020-01-18,Mukono,10.1
2020-01-19,Mukono,0.0
2020-01-20,Mukono,0.0
2020-01-21,Mukono,0.0
2020-01-22,Mukono,0.0
2020-01-23,Mukono,0.0
2020-01-24,Mukono,0.0
2020-01-25,Mukono,0.1
2020-01-26,Mukono,0.8
2020-01-27,Mukono,9.5
2020-01-28,Mukono,9.5
2020-01-29,Mukono,8.4
2020-01-30,Mukono,8.5
2020-01-31,Mukono,25.4
2020-02-01,Mukono,5.0
2020-02-02,Mukono,0.8
2020-02-03,Mukono,2.9
2020-02-04,Mukono,2.6
2020-02-05,Mukono,3.2
2020-02-06,Mukono,18.5
2020-02-07,Mukono,0.2
2020-02-08,Mukono,0.0
2020-02-09,Mukono,0.1
2020-02-10,Mukono,0.0
2020-02-11,Mukono,0.0
2020-02-12,Mukono,0.1
2020-02-13,Mukono,0.0
2020-02-14,Mukono,1.3
2020-02-15,Mukono,18.3
2020-02-16,Mukono,5.7
2020-02-17,Mukono,5.1
2020-02-18,Mukono,1.7
2020-02-19,Mukono,7.1
2020-02-20,Mukono,8.1
2020-02-21,Mukono,1.8
2020-02-22,Mukono,1.8
2020-02-23,Mukono,0.3
2020-02-24,Mukono,3.4
2020-02-25,Mukono,1.4
2020-02-26,Mukono,1.8
2020-02-27,Mukono,6.7
2020-02-28,Mukono,19.0
2020-02-29,Mukono,2.2
2020-03-01,Mukono,3.9
2020-03-02,Mukono,5.2
2020-03-03,Mukono,12.4
2020-03-04,Mukono,8.5
2020-03-05,Mukono,4.3
2020-03-06,Mukono,1.7
2020-03-07,Mukono,2.2
2020-03-08,Mukono,4.3
2020-03-09,Mukono,12.2
2020-03-10,Mukono,0.2
2020-03-11,Mukono,5.4
2020-03-12,Mukono,4.3
2020-03-13,Mukono,6.2
2020-03-14,Mukono,1.3
2020-03-15,Mukono,1.6
2020-03-16,Mukono,17.0
2020-03-17,Mukono,5.9
2020-03-18,Mukono,7.8
2020-03-19,Mukono,3.3
2020-03-20,Mukono,4.2
2020-03-21,Mukono,4.2
2020-03-22,Mukono,19.6
2020-03-23,Mukono,3.3
2020-03-24,Mukono,5.7
2020-03-25,Mukono,4.5
2020-03-26,Mukono,4.5
2020-03-27,Mukono,8.2
2020-03-28,Mukono,11.1
2020-03-29,Mukono,8.5
2020-03-30,Mukono,1.2
2020-03-31,Mukono,2.1
2020-04-01,Mukono,1.5
2020-04-02,Mukono,0.2
2020-04-03,Mukono,1.3
2020-04-04,Mukono,6.2
2020-04-05,Mukono,3.4
2020-04-06,Mukono,1.1
2020-04-07,Mukono,0.7
2020-04-08,Mukono,0.3
2020-04-09,Mukono,0.4
2020-04-10,Mukono,7.5
2020-04-11,Mukono,2.4
2020-04-12,Mukono,16.3
2020-04-13,Mukono,13.5
2020-04-14,Mukono,12.9
2020-04-15,Mukono,2.7
2020-04-16,Mukono,0.6
2020-04-17,Mukono,7.1
2020-04-18,Mukono,9.2
2020-04-19,Mukono,6.6
2020-04-20,Mukono,22.2
2020-04-21,Mukono,6.5
2020-04-22,Mukono,4.1
2020-04-23,Mukono,11.5
2020-04-24,Mukono,7.8
